SGG_NM,CNTRCT_DE,RENT_GTN
영등포구,2022-11-13,31655
영등포구,2022-11-14,39722.30769
영등포구,2022-11-15,35541.96429
영등포구,2022-11-16,37615.14286
영등포구,2022-11-17,47768.57143
영등포구,2022-11-18,32750
영등포구,2022-11-19,44571.90476
영등포구,2022-11-20,37062.5
영등포구,2022-11-21,37528.94737
영등포구,2022-11-22,37842.72727
영등포구,2022-11-23,43039.47368
영등포구,2022-11-24,42292.6087
영등포구,2022-11-25,35323.52941
영등포구,2022-11-26,43228.32353
영등포구,2022-11-27,51500
영등포구,2022-11-28,37337.82609
영등포구,2022-11-29,41271.73913
영등포구,2022-11-30,41512
영등포구,2022-12-01,27670
영등포구,2022-12-02,47196.2963
영등포구,2022-12-03,41225
영등포구,2022-12-04,32642.85714
영등포구,2022-12-05,35771.42857
영등포구,2022-12-06,46739.47368
영등포구,2022-12-07,36493.18182
영등포구,2022-12-08,35269.44444
영등포구,2022-12-09,28076.45455
영등포구,2022-12-10,48666.35135
영등포구,2022-12-11,34470
영등포구,2022-12-12,33022
영등포구,2022-12-13,40373.69565
영등포구,2022-12-14,35711.42857
영등포구,2022-12-15,36915.21739
영등포구,2022-12-16,33975.6
영등포구,2022-12-17,41777
영등포구,2022-12-18,37061.11111
영등포구,2022-12-19,38232.35294
영등포구,2022-12-20,40106.40741
영등포구,2022-12-21,49443.75
영등포구,2022-12-22,35735.05556
영등포구,2022-12-23,32094.54545
영등포구,2022-12-24,45218.75
영등포구,2022-12-26,35480.55556
영등포구,2022-12-27,42492.85714
영등포구,2022-12-28,45050
영등포구,2022-12-29,40336.36364
영등포구,2022-12-30,36405.44
영등포구,2022-12-31,45870.58824
영등포구,2023-01-01,36000
영등포구,2023-01-02,44888.88889
영등포구,2023-01-03,38382.86364
영등포구,2023-01-04,34094.44444
영등포구,2023-01-05,34937.5
영등포구,2023-01-06,34583.33333
영등포구,2023-01-07,29216.25
영등포구,2023-01-08,43333.33333
영등포구,2023-01-09,37794.11765
영등포구,2023-01-10,28900
영등포구,2023-01-11,34848.77273
영등포구,2023-01-12,20410.38462
영등포구,2023-01-13,32343.11765
영등포구,2023-01-14,41233.125
영등포구,2023-01-15,28747.77778
영등포구,2023-01-16,33879.41176
영등포구,2023-01-17,31464.70588
영등포구,2023-01-18,32626.92308
영등포구,2023-01-19,41642.85714
영등포구,2023-01-20,32274.75
영등포구,2023-01-21,23500
영등포구,2023-01-24,37500
영등포구,2023-01-25,32342.85714
영등포구,2023-01-26,35936.36364
영등포구,2023-01-27,49222.5
영등포구,2023-01-28,41377.30435
영등포구,2023-01-29,57500
영등포구,2023-01-30,31859.09091
용산구,2022-01-01,44940
용산구,2022-01-02,77000
용산구,2022-01-03,48900
용산구,2022-01-04,64983.33333
용산구,2022-01-05,56941
용산구,2022-01-06,54965
용산구,2022-01-07,60300
용산구,2022-01-08,58282.14286
용산구,2022-01-09,46550
용산구,2022-01-10,43815.33333
용산구,2022-01-11,58962.30769
용산구,2022-01-12,55340.90909
용산구,2022-01-13,60703.57143
용산구,2022-01-14,45270.45455
용산구,2022-01-15,64832.14286
용산구,2022-01-16,68925
용산구,2022-01-17,66538.88889
용산구,2022-01-18,69414.28571
용산구,2022-01-19,73438.88889
용산구,2022-01-20,43375
용산구,2022-01-21,58021.57895
용산구,2022-01-22,58063.46154
용산구,2022-01-23,58950
용산구,2022-01-24,92692.85714
용산구,2022-01-25,72024
용산구,2022-01-26,55926.66667
용산구,2022-01-27,86450
용산구,2022-01-28,55007.14286
용산구,2022-01-29,63133.33333
용산구,2022-01-30,55100
용산구,2022-02-02,50400
용산구,2022-02-03,39711.81818
용산구,2022-02-04,41106.42857
용산구,2022-02-05,54137.08333
용산구,2022-02-06,59000
용산구,2022-02-07,86750
용산구,2022-02-08,43666.66667
용산구,2022-02-09,73982.14286
용산구,2022-02-10,66180.55556
용산구,2022-02-11,50384.33333
용산구,2022-02-12,56332
용산구,2022-02-13,68437.5
용산구,2022-02-14,46614.28571
용산구,2022-02-15,52775
용산구,2022-02-16,64130
용산구,2022-02-17,88037.5
용산구,2022-02-18,56144.73684
용산구,2022-02-19,49279.80769
용산구,2022-02-20,61450
용산구,2022-02-21,79567.85714
용산구,2022-02-22,80680.90909
용산구,2022-02-23,56328.73684
용산구,2022-02-24,77300
용산구,2022-02-25,94576.875
용산구,2022-02-26,52723.1
용산구,2022-02-27,43425
용산구,2022-02-28,78489.70588
용산구,2022-03-01,75871.42857
용산구,2022-03-02,74783.33333
용산구,2022-03-03,69535
용산구,2022-03-04,43331.25
용산구,2022-03-05,55145.2381
용산구,2022-03-06,30500
용산구,2022-03-07,44100
용산구,2022-03-08,77480.76923
용산구,2022-03-09,75892.85714
