SGG_NM,YM,RENT_GTN,RENT_FEE
성동구,2022-01,21649.54606741573,130.02696629213483
성동구,2022-02,20108.45601851852,131.75462962962962
성동구,2022-03,23268.570024570025,132.2137592137592
성동구,2022-04,21678.37671232877,169.30365296803652
성동구,2022-05,20642.94722955145,131.89973614775727
성동구,2022-06,17210.649289099525,113.7867298578199
성동구,2022-07,20522.51409978308,109.32104121475054
성동구,2022-08,23036.235795454544,140.35227272727272
성동구,2022-09,24211.222222222223,142.78333333333333
성동구,2022-10,26960.14814814815,122.02279202279202
성동구,2022-11,21364.5963060686,120.0131926121372
성동구,2022-12,18531.266129032258,134.9758064516129
성동구,2023-01,21327.548387096773,117.00921658986175
성북구,2022-01,13022.341860465116,70.63255813953488
성북구,2022-02,15049.385416666666,78.6640625
성북구,2022-03,14164.390449438202,74.49438202247191
성북구,2022-04,16398.110726643597,91.77508650519032
성북구,2022-05,15172.548494983277,81.89297658862876
성북구,2022-06,10740.968299711816,61.28242074927954
성북구,2022-07,13209.697160883281,64.66876971608833
성북구,2022-08,16703.665217391303,81.8913043478261
성북구,2022-09,18549.01224489796,80.89387755102041
성북구,2022-10,14993.922178988327,87.47081712062257
성북구,2022-11,14998.107692307693,82.62692307692308
성북구,2022-12,14193.971119133574,84.10830324909747
성북구,2023-01,13904.959183673469,70.43367346938776
송파구,2022-01,21948.537353735373,90.4914491449145
송파구,2022-02,21705.37398373984,88.56585365853658
송파구,2022-03,21137.883211678833,100.86027111574556
송파구,2022-04,22366.228295819936,106.26580921757771
송파구,2022-05,24049.25361512792,103.59176863181312
송파구,2022-06,23628.51637279597,110.6926952141058
송파구,2022-07,25087.835152838426,106.72161572052401
송파구,2022-08,22793.62781186094,94.97750511247443
송파구,2022-09,26256.54057142857,113.54171428571429
송파구,2022-10,26670.081280788178,118.63054187192118
송파구,2022-11,24241.8445336008,106.25476429287863
송파구,2022-12,24574.36963036963,105.13186813186813
송파구,2023-01,25217.070663811563,108.32976445396146
양천구,2022-01,24660.148044692738,81.05307262569832
양천구,2022-02,27032.433774834437,80.1523178807947
양천구,2022-03,21559.303977272728,73.79545454545455
양천구,2022-04,23664.770547945205,79.72602739726027
양천구,2022-05,22112.19098143236,75.13262599469496
양천구,2022-06,25296.895209580838,78.30838323353294
양천구,2022-07,20207.461197339246,69.04434589800444
양천구,2022-08,25932.140186915887,87.05919003115265
양천구,2022-09,21435.260638297874,76.02659574468085
양천구,2022-10,22233.880841121496,72.85280373831776
양천구,2022-11,21110.66259168704,76.02689486552568
양천구,2022-12,23978.185430463574,69.64900662251655
양천구,2023-01,16197.98161764706,68.97426470588235
영등포구,2022-01,12483.238461538462,68.00769230769231
영등포구,2022-02,14504.651968503937,74.16220472440945
영등포구,2022-03,16892.735632183907,70.88250319284802
영등포구,2022-04,14705.256862745098,83.57254901960785
영등포구,2022-05,12975.467230443975,78.43128964059197
영등포구,2022-06,14360.460035523978,80.40674955595027
영등포구,2022-07,13478.901587301587,74.95555555555555
영등포구,2022-08,17167.82149712092,83.98656429942419
영등포구,2022-09,15722.856603773585,75.34716981132075
영등포구,2022-10,14495.221218961626,84.96839729119638
영등포구,2022-11,12875.179611650485,78.3131067961165
영등포구,2022-12,13918.228,70.326
영등포구,2023-01,13651.954751131221,75.30316742081448
용산구,2022-01,19904.300411522632,193.62139917695472
용산구,2022-02,20536.68650793651,201.77777777777777
용산구,2022-03,19892.867088607596,168.78481012658227
용산구,2022-04,21124.68679245283,210.11320754716982
용산구,2022-05,14852.491258741258,112.29895104895105
용산구,2022-06,20993.833846153848,140.88
용산구,2022-07,22163.76886792453,192.4433962264151
용산구,2022-08,29390.79797979798,166.15656565656565
용산구,2022-09,26571.00465116279,196.59534883720931
용산구,2022-10,26983.951219512193,172.82926829268294
용산구,2022-11,19963.21546961326,186.3314917127072
용산구,2022-12,17443.9853372434,71.29178885630499
용산구,2023-01,16513.2109375,68.6953125
은평구,2022-01,7434.023255813953,59.5968992248062
은평구,2022-02,8953.059585492229,61.74611398963731
은평구,2022-03,8231.622478386167,57.17291066282421
은평구,2022-04,8911.216145833334,61.674479166666664
은평구,2022-05,10984.711779448622,61.82706766917293
은평구,2022-06,8097.552401746725,47.875545851528386
은평구,2022-07,7894.418650793651,56.05952380952381
은평구,2022-08,10049.270114942528,62.69252873563219
은평구,2022-09,10226.424528301886,62.886792452830186
은평구,2022-10,12214.44,65.32923076923078
