BJDONG_NM,CNTRCT_DE,RENT_GTN
가락동,2022-10-30,46375.0
가락동,2022-10-31,95000.0
가락동,2022-11-01,69590.0
가락동,2022-11-02,59500.0
가락동,2022-11-03,73500.0
가락동,2022-11-04,65750.0
가락동,2022-11-05,74035.71428571429
가락동,2022-11-06,45000.0
가락동,2022-11-07,58000.0
가락동,2022-11-08,57500.0
가락동,2022-11-09,75500.0
가락동,2022-11-10,60000.0
가락동,2022-11-11,91000.0
가락동,2022-11-12,80164.28571428571
가락동,2022-11-13,49700.0
가락동,2022-11-14,48500.0
가락동,2022-11-15,72442.85714285714
가락동,2022-11-16,55000.0
가락동,2022-11-17,47937.5
가락동,2022-11-18,68800.0
가락동,2022-11-19,74785.41666666667
가락동,2022-11-20,79690.0
가락동,2022-11-21,65000.0
가락동,2022-11-22,75625.0
가락동,2022-11-23,56445.0
가락동,2022-11-24,62666.666666666664
가락동,2022-11-25,65181.818181818184
가락동,2022-11-26,67806.25
가락동,2022-11-27,85000.0
가락동,2022-11-28,65350.0
가락동,2022-11-29,87472.5
가락동,2022-11-30,76083.33333333333
가락동,2022-12-01,93000.0
가락동,2022-12-02,76333.33333333333
가락동,2022-12-03,73343.18181818182
가락동,2022-12-04,65000.0
가락동,2022-12-05,55562.5
가락동,2022-12-06,66437.5
가락동,2022-12-07,82222.22222222222
가락동,2022-12-08,85125.0
가락동,2022-12-09,86275.0
가락동,2022-12-10,65380.0
가락동,2022-12-11,81666.66666666667
가락동,2022-12-12,81450.0
가락동,2022-12-13,61997.5
가락동,2022-12-14,55180.0
가락동,2022-12-15,52725.0
가락동,2022-12-16,56917.0
가락동,2022-12-17,65954.54545454546
가락동,2022-12-18,93000.0
가락동,2022-12-19,67750.0
가락동,2022-12-20,57000.0
가락동,2022-12-21,75725.0
가락동,2022-12-22,77166.66666666667
가락동,2022-12-23,60555.555555555555
가락동,2022-12-24,68690.0
가락동,2022-12-25,84000.0
가락동,2022-12-26,70379.75
가락동,2022-12-27,84400.0
가락동,2022-12-28,77175.0
가락동,2022-12-29,76833.33333333333
가락동,2022-12-30,67333.33333333333
가락동,2022-12-31,53012.0
가락동,2023-01-03,107666.66666666667
가락동,2023-01-04,78800.0
가락동,2023-01-05,65933.33333333333
가락동,2023-01-06,60391.666666666664
가락동,2023-01-07,73840.71428571429
가락동,2023-01-08,80000.0
가락동,2023-01-09,78285.71428571429
가락동,2023-01-10,84250.0
가락동,2023-01-11,72085.83333333333
가락동,2023-01-12,76380.0
가락동,2023-01-13,64820.0
가락동,2023-01-14,69709.09090909091
가락동,2023-01-16,67193.75
가락동,2023-01-17,68000.0
가락동,2023-01-18,55133.333333333336
가락동,2023-01-19,72439.66666666667
가락동,2023-01-20,74250.0
가락동,2023-01-21,74900.0
가락동,2023-01-25,91200.0
가락동,2023-01-26,42750.0
가락동,2023-01-27,81125.0
가락동,2023-01-28,65800.0
가락동,2023-01-30,65760.0
가리봉동,2022-01-03,26000.0
가리봉동,2022-01-07,12000.0
가리봉동,2022-01-08,29000.0
가리봉동,2022-01-11,28300.0
가리봉동,2022-01-19,12500.0
가리봉동,2022-01-22,20000.0
가리봉동,2022-02-05,10000.0
가리봉동,2022-02-08,18250.0
가리봉동,2022-02-09,24000.0
가리봉동,2022-03-05,30000.0
가리봉동,2022-03-09,11000.0
가리봉동,2022-03-26,34000.0
가리봉동,2022-04-04,23750.0
가리봉동,2022-04-05,17000.0
가리봉동,2022-04-09,34000.0
가리봉동,2022-05-09,1000.0
가리봉동,2022-05-21,26000.0
가리봉동,2022-05-28,34500.0
가리봉동,2022-06-08,28800.0
가리봉동,2022-06-11,33000.0
가리봉동,2022-06-13,31000.0
가리봉동,2022-06-14,28300.0
가리봉동,2022-06-15,25200.0
가리봉동,2022-06-23,12000.0
가리봉동,2022-06-27,33300.0
가리봉동,2022-07-07,38000.0
가리봉동,2022-07-14,29925.0
가리봉동,2022-07-30,39000.0
가리봉동,2022-09-15,21000.0
가리봉동,2022-09-19,37000.0
가리봉동,2022-09-24,28600.0
가리봉동,2022-10-08,24500.0
가리봉동,2022-10-19,37500.0
가리봉동,2022-10-20,33075.0
가리봉동,2022-10-25,33075.0
가리봉동,2022-11-03,29000.0
가리봉동,2022-11-16,28000.0
가리봉동,2022-12-08,32000.0
가리봉동,2022-12-10,30000.0
가리봉동,2022-12-14,21000.0
가산동,2022-01-02,13250.0
가산동,2022-01-03,32275.0
가산동,2022-01-04,18125.0
가산동,2022-01-05,26666.666666666668
가산동,2022-01-06,41166.666666666664
가산동,2022-01-07,22666.666666666668
가산동,2022-01-08,16650.0
가산동,2022-01-09,17325.0
가산동,2022-01-10,25458.333333333332
가산동,2022-01-11,23000.0
가산동,2022-01-12,26500.0
가산동,2022-01-13,21775.0
가산동,2022-01-14,17408.0
가산동,2022-01-15,19925.0
가산동,2022-01-16,18750.0
가산동,2022-01-17,28375.0
가산동,2022-01-18,18300.0
가산동,2022-01-19,45000.0
가산동,2022-01-20,25555.0
가산동,2022-01-21,24242.85714285714
가산동,2022-01-22,26153.125
가산동,2022-01-23,20380.0
가산동,2022-01-24,26000.0
가산동,2022-01-25,22100.0
가산동,2022-01-27,33050.0
가산동,2022-01-28,22350.0
가산동,2022-01-29,27350.0
가산동,2022-01-30,24000.0
가산동,2022-02-03,15800.0
가산동,2022-02-04,12000.0
가산동,2022-02-05,19612.7
가산동,2022-02-06,17425.0
가산동,2022-02-07,22850.0
가산동,2022-02-08,20150.0
가산동,2022-02-09,20828.571428571428
가산동,2022-02-10,21666.666666666668
가산동,2022-02-11,29850.0
가산동,2022-02-12,15296.857142857143
가산동,2022-02-13,21231.25
가산동,2022-02-15,18252.777777777777
가산동,2022-02-16,19940.0
가산동,2022-02-17,22595.0
가산동,2022-02-18,28000.0
가산동,2022-02-19,18096.0
가산동,2022-02-20,20000.0
가산동,2022-02-21,24854.166666666668
가산동,2022-02-22,14400.0
가산동,2022-02-23,18480.0
가산동,2022-02-24,21800.0
가산동,2022-02-25,28766.666666666668
가산동,2022-02-26,25625.0
가산동,2022-02-27,31400.0
가산동,2022-02-28,17633.333333333332
가산동,2022-03-02,22780.0
가산동,2022-03-03,16942.5
가산동,2022-03-04,20800.0
가산동,2022-03-05,23485.714285714286
가산동,2022-03-07,13200.0
가산동,2022-03-08,12575.0
가산동,2022-03-09,19476.666666666668
가산동,2022-03-10,14295.0
가산동,2022-03-11,18633.333333333332
가산동,2022-03-12,20030.0
가산동,2022-03-14,13000.0
가산동,2022-03-15,28650.0
가산동,2022-03-16,14300.0
가산동,2022-03-17,15000.0
가산동,2022-03-18,20420.0
가산동,2022-03-19,18737.5
가산동,2022-03-20,17875.0
가산동,2022-03-21,24000.0
가산동,2022-03-22,20440.0
가산동,2022-03-23,26100.0
가산동,2022-03-24,16933.333333333332
가산동,2022-03-26,19775.714285714286
가산동,2022-03-27,25200.0
가산동,2022-03-28,16900.0
가산동,2022-03-29,20075.0
가산동,2022-03-30,27300.0
가산동,2022-03-31,23800.0
가산동,2022-04-01,28025.0
가산동,2022-04-02,21142.5
가산동,2022-04-04,27810.0
가산동,2022-04-05,18425.0
가산동,2022-04-06,30700.0
가산동,2022-04-07,12562.5
가산동,2022-04-08,15650.0
가산동,2022-04-09,26907.14285714286
가산동,2022-04-11,27950.0
가산동,2022-04-12,27400.0
가산동,2022-04-13,23166.666666666668
가산동,2022-04-15,16400.0
가산동,2022-04-16,13372.5
가산동,2022-04-17,28130.0
가산동,2022-04-18,25750.0
가산동,2022-04-19,23647.5
가산동,2022-04-20,24225.0
가산동,2022-04-21,18750.0
가산동,2022-04-22,17562.5
가산동,2022-04-23,13666.666666666666
가산동,2022-04-24,13000.0
가산동,2022-04-25,18850.0
가산동,2022-04-26,19900.0
가산동,2022-04-27,20766.666666666668
가산동,2022-04-28,16132.0
가산동,2022-04-29,23200.0
가산동,2022-04-30,22925.0
가산동,2022-05-01,24833.333333333332
가산동,2022-05-02,16416.666666666668
가산동,2022-05-03,16650.0
가산동,2022-05-04,12787.5
가산동,2022-05-05,21675.0
가산동,2022-05-06,19133.333333333332
가산동,2022-05-07,23672.5
가산동,2022-05-08,25200.0
가산동,2022-05-09,25341.666666666668
가산동,2022-05-10,21475.0
가산동,2022-05-11,23500.0
가산동,2022-05-12,14375.0
가산동,2022-05-13,16265.0
가산동,2022-05-14,16791.666666666668
가산동,2022-05-16,20108.333333333332
가산동,2022-05-17,13400.0
가산동,2022-05-18,15871.42857142857
가산동,2022-05-19,32733.333333333332
가산동,2022-05-20,16120.0
가산동,2022-05-21,15133.333333333334
가산동,2022-05-23,25900.0
가산동,2022-05-24,26150.0
가산동,2022-05-25,19140.0
가산동,2022-05-26,12812.5
가산동,2022-05-27,13550.0
가산동,2022-05-28,30300.0
가산동,2022-05-29,18950.0
가산동,2022-05-30,14400.0
가산동,2022-06-01,20097.75
가산동,2022-06-02,25412.5
가산동,2022-06-03,13175.0
가산동,2022-06-04,21385.0
가산동,2022-06-05,19162.5
가산동,2022-06-07,28200.0
가산동,2022-06-08,29900.0
가산동,2022-06-09,17117.85714285714
가산동,2022-06-10,13972.5
가산동,2022-06-11,19102.272727272728
가산동,2022-06-12,20456.666666666668
가산동,2022-06-13,16065.0
가산동,2022-06-14,12445.0
가산동,2022-06-15,23000.0
가산동,2022-06-16,18400.0
가산동,2022-06-17,14443.125
가산동,2022-06-18,12910.0
가산동,2022-06-19,21300.0
가산동,2022-06-21,19320.0
가산동,2022-06-22,16387.5
가산동,2022-06-23,18800.0
가산동,2022-06-24,18862.875
가산동,2022-06-25,17793.333333333332
가산동,2022-06-26,20400.0
가산동,2022-06-27,13812.5
가산동,2022-06-28,15956.25
가산동,2022-06-29,18983.333333333332
가산동,2022-06-30,18300.0
가산동,2022-07-01,16466.666666666668
가산동,2022-07-02,15179.0
가산동,2022-07-04,26215.909090909092
가산동,2022-07-05,13100.0
가산동,2022-07-06,18935.714285714286
가산동,2022-07-07,13537.5
가산동,2022-07-08,15987.5
가산동,2022-07-09,17032.941176470587
가산동,2022-07-10,14250.0
가산동,2022-07-11,19893.75
가산동,2022-07-12,13100.0
가산동,2022-07-13,31267.5
가산동,2022-07-14,19600.0
가산동,2022-07-15,19570.0
가산동,2022-07-16,19555.727272727272
가산동,2022-07-17,20400.0
가산동,2022-07-18,15965.0
가산동,2022-07-19,17975.0
가산동,2022-07-20,14264.285714285714
가산동,2022-07-21,18210.0
가산동,2022-07-22,17106.666666666668
가산동,2022-07-23,13700.0
가산동,2022-07-24,12000.0
가산동,2022-07-25,14147.222222222223
가산동,2022-07-26,21406.666666666668
가산동,2022-07-27,14850.0
가산동,2022-07-28,13878.57142857143
가산동,2022-07-30,15559.375
가산동,2022-07-31,18471.666666666668
가산동,2022-08-01,13591.666666666666
가산동,2022-08-02,19550.0
가산동,2022-08-03,12650.0
가산동,2022-08-04,13650.0
가산동,2022-08-05,12775.0
가산동,2022-08-06,17058.18181818182
가산동,2022-08-07,15950.0
가산동,2022-08-08,23941.666666666668
가산동,2022-08-09,17965.0
가산동,2022-08-10,22820.0
가산동,2022-08-11,16325.2
가산동,2022-08-12,17619.0
가산동,2022-08-13,17465.625
가산동,2022-08-14,22000.0
가산동,2022-08-15,21175.0
가산동,2022-08-16,17887.5
가산동,2022-08-17,18575.0
가산동,2022-08-18,18700.0
가산동,2022-08-19,25500.0
가산동,2022-08-20,16382.5
가산동,2022-08-21,17287.5
가산동,2022-08-22,17496.0
가산동,2022-08-23,18100.0
가산동,2022-08-24,17966.666666666668
가산동,2022-08-25,12833.333333333334
가산동,2022-08-26,15195.0
가산동,2022-08-27,18400.0
가산동,2022-08-28,18500.0
가산동,2022-08-29,13650.0
가산동,2022-08-30,17850.0
가산동,2022-08-31,14100.0
가산동,2022-09-01,13300.0
가산동,2022-09-02,26300.0
가산동,2022-09-03,18900.0
