SGG_NM,CNTRCT_DE,RENT_GTN,RENT_FEE
광진구,2022-12-14,25222.222222222223,90.77777777777777
광진구,2022-12-15,19000.0,86.66666666666667
광진구,2022-12-16,24870.0,99.2
광진구,2022-12-17,29687.5,117.1875
광진구,2022-12-19,11062.0,51.57142857142857
광진구,2022-12-20,19142.85714285714,65.71428571428571
광진구,2022-12-21,21100.0,98.0
광진구,2022-12-22,16980.0,113.0
광진구,2022-12-23,12333.333333333334,95.33333333333333
광진구,2022-12-24,32000.0,91.33333333333333
광진구,2022-12-26,3000.0,129.33333333333334
광진구,2022-12-27,8490.0,121.9
광진구,2022-12-28,7437.5,94.875
광진구,2022-12-29,9888.888888888889,89.33333333333333
광진구,2022-12-30,13225.0,80.125
광진구,2022-12-31,20000.0,102.5
광진구,2023-01-01,10000.0,350.0
광진구,2023-01-02,8800.0,85.2
광진구,2023-01-03,2750.0,69.25
광진구,2023-01-04,12785.714285714286,60.285714285714285
광진구,2023-01-05,9260.0,105.2
광진구,2023-01-06,30214.285714285714,89.42857142857143
광진구,2023-01-07,22714.285714285714,50.142857142857146
광진구,2023-01-08,22333.333333333332,70.33333333333333
광진구,2023-01-09,4833.333333333333,70.55555555555556
광진구,2023-01-10,20308.333333333332,74.33333333333333
광진구,2023-01-11,39750.0,62.5
광진구,2023-01-12,12500.0,170.0
광진구,2023-01-13,17142.85714285714,64.85714285714286
광진구,2023-01-14,37000.0,84.0
광진구,2023-01-15,22000.0,82.0
광진구,2023-01-16,26500.0,80.0
광진구,2023-01-17,14000.0,83.0
광진구,2023-01-18,29000.0,116.0
광진구,2023-01-19,23920.0,59.0
광진구,2023-01-20,10000.0,185.0
광진구,2023-01-22,400.0,50.5
광진구,2023-01-24,750.0,61.5
광진구,2023-01-25,2407.5,8.5
광진구,2023-01-26,39500.0,45.0
광진구,2023-01-27,300.0,35.0
광진구,2023-01-28,18466.666666666668,110.0
광진구,2023-01-29,60000.0,140.0
광진구,2023-01-30,500.0,62.0
구로구,2022-01-03,5875.0,74.75
구로구,2022-01-04,8017.64705882353,64.05882352941177
구로구,2022-01-05,2697.0666666666666,63.53333333333333
구로구,2022-01-06,6178.571428571428,60.642857142857146
구로구,2022-01-07,7787.25,66.33333333333333
구로구,2022-01-08,5786.95652173913,62.608695652173914
구로구,2022-01-09,10700.0,56.8
구로구,2022-01-10,6729.625,53.375
구로구,2022-01-11,8009.090909090909,60.68181818181818
구로구,2022-01-12,10708.333333333334,74.91666666666667
구로구,2022-01-13,12150.0,53.5
구로구,2022-01-14,12137.5,51.75
구로구,2022-01-15,11440.0,57.12
구로구,2022-01-16,24500.0,39.2
구로구,2022-01-17,12306.42857142857,49.92857142857143
구로구,2022-01-18,10782.35294117647,65.41176470588235
구로구,2022-01-19,10176.181818181818,48.54545454545455
구로구,2022-01-20,10560.941176470587,43.23529411764706
구로구,2022-01-21,5733.130434782609,43.52173913043478
구로구,2022-01-22,11752.0,59.68
구로구,2022-01-23,8437.5,57.75
구로구,2022-01-24,11163.0,44.90625
구로구,2022-01-25,9162.57142857143,57.904761904761905
구로구,2022-01-26,15108.9375,46.3125
구로구,2022-01-27,4538.461538461538,63.61538461538461
구로구,2022-01-28,3891.2380952380954,64.42857142857143
구로구,2022-01-29,9062.5,51.25
구로구,2022-01-30,7000.0,88.33333333333333
구로구,2022-01-31,27728.571428571428,51.857142857142854
구로구,2022-02-03,8210.526315789473,53.0
구로구,2022-02-04,8425.157894736842,52.8421052631579
구로구,2022-02-05,12519.23076923077,52.42307692307692
구로구,2022-02-06,6000.0,51.8
구로구,2022-02-07,7675.0,53.45
구로구,2022-02-08,8647.0625,53.125
구로구,2022-02-09,16071.413793103447,59.37931034482759
구로구,2022-02-10,6010.375,35.6875
구로구,2022-02-11,10824.263157894737,52.36842105263158
구로구,2022-02-12,12277.41935483871,73.58064516129032
구로구,2022-02-13,1500.0,43.333333333333336
구로구,2022-02-14,6304.470588235294,57.470588235294116
구로구,2022-02-15,14054.384615384615,79.42307692307692
구로구,2022-02-16,7429.851063829788,38.851063829787236
구로구,2022-02-17,11855.4,48.72
구로구,2022-02-18,7990.8125,49.8125
구로구,2022-02-19,10138.636363636364,53.27272727272727
구로구,2022-02-20,12000.0,44.2
구로구,2022-02-21,11181.227272727272,46.86363636363637
구로구,2022-02-22,14267.70588235294,46.35294117647059
구로구,2022-02-23,8102.954545454545,61.68181818181818
구로구,2022-02-24,10584.083333333334,58.25
구로구,2022-02-25,6443.75,58.4375
구로구,2022-02-26,10437.5,61.458333333333336
구로구,2022-02-27,11750.0,80.0
구로구,2022-02-28,18626.31818181818,47.20454545454545
구로구,2022-03-01,10492.5,50.05
구로구,2022-03-02,12924.444444444445,43.666666666666664
구로구,2022-03-03,5363.636363636364,78.27272727272727
구로구,2022-03-04,8181.818181818182,69.36363636363636
구로구,2022-03-05,7961.538461538462,51.38461538461539
구로구,2022-03-06,17500.0,55.0
구로구,2022-03-07,8846.153846153846,48.23076923076923
구로구,2022-03-08,4211.111111111111,78.66666666666667
구로구,2022-03-09,14958.333333333334,52.916666666666664
구로구,2022-03-10,11347.833333333334,61.75
구로구,2022-03-11,15105.357142857143,56.857142857142854
구로구,2022-03-12,9627.777777777777,59.111111111111114
구로구,2022-03-13,12500.0,78.0
구로구,2022-03-14,5024.7,60.9
구로구,2022-03-15,11115.055555555555,61.22222222222222
구로구,2022-03-16,6382.9473684210525,55.73684210526316
구로구,2022-03-17,9525.384615384615,42.38461538461539
구로구,2022-03-18,8649.7,35.266666666666666
구로구,2022-03-19,12923.076923076924,60.38461538461539
구로구,2022-03-20,9500.0,64.8
구로구,2022-03-21,9138.5,26.15
구로구,2022-03-22,7848.588235294118,50.05882352941177
구로구,2022-03-23,8084.666666666667,55.166666666666664
구로구,2022-03-24,8847.142857142857,51.642857142857146
구로구,2022-03-25,9849.777777777777,64.33333333333333
구로구,2022-03-26,8041.666666666667,66.5
구로구,2022-03-27,15333.333333333334,46.666666666666664
구로구,2022-03-28,12018.75,51.75
구로구,2022-03-29,11318.181818181818,71.45454545454545
구로구,2022-03-30,7150.0,58.7
구로구,2022-03-31,20476.470588235294,54.294117647058826
구로구,2022-04-01,8220.363636363636,46.27272727272727
구로구,2022-04-02,12500.0,49.61538461538461
구로구,2022-04-03,1333.3333333333333,76.66666666666667
구로구,2022-04-04,9729.8,49.6
구로구,2022-04-05,7852.142857142857,76.07142857142857
구로구,2022-04-06,6717.641025641025,25.923076923076923
구로구,2022-04-07,5339.0,32.125
구로구,2022-04-08,8679.92857142857,54.642857142857146
구로구,2022-04-09,7875.0,95.25
구로구,2022-04-10,7131.571428571428,27.428571428571427
구로구,2022-04-11,8845.111111111111,51.0
구로구,2022-04-12,4819.2,49.13333333333333
구로구,2022-04-13,10339.548387096775,38.45161290322581
구로구,2022-04-14,8176.708333333333,38.375
구로구,2022-04-15,6477.615384615385,46.53846153846154
구로구,2022-04-16,10014.1875,79.625
구로구,2022-04-17,4333.333333333333,123.33333333333333
구로구,2022-04-18,6097.636363636364,45.27272727272727
구로구,2022-04-19,9046.08695652174,40.391304347826086
구로구,2022-04-20,15516.75,32.875
구로구,2022-04-21,8103.058823529412,68.05882352941177
구로구,2022-04-22,9369.04347826087,51.869565217391305
구로구,2022-04-23,27571.428571428572,69.5
구로구,2022-04-24,6337.0,24.0
구로구,2022-04-25,5795.6,60.7
구로구,2022-04-26,11081.058823529413,80.29411764705883
구로구,2022-04-27,4863.636363636364,54.72727272727273
